identificador,nome_do_clube,pais_do_clube,ano_de_fundacao,descricao
46,Fiorentina,Itália,1926,"Hexacampeão da copa da Itália"
81,Flamengo,Brasil,1895,"É o clube mais tradicional, popular e vitorioso do Brasil e da América do Sul"
63,Friburgo,Alemanha,1904,"Clube reconhecido por ser um time tradicionalmente disciplinado e bem organizado"
29,Fulham,Inglaterra,1879,"O clube tradicional mais antigo de Londres"
52,Galatasaray,Turquia,1905,"É o clube mais vitorioso da Turquia"
72,Genk,Bélgica,1988,"Um dos clubes mais bem-sucedidos do país com 4 títulos do Campeonato Belga e 4 Copas da Bélgica"
94,Getafe,Espanha,1983,"Tem se destacado pelo futebol competitivo e organizado, matendo-se frequentemente na La Liga desde a década de 2000"
79,Girona,Espanha,1930,"Ganhou destaque nas últimas décadas, quando conquistou o acesso inédito à La Liga"
6,Internazionale Milano,Itália,1908,"Campeão Mundial em 2010"
25,Juventus,Itália,1897,"O imperador da Itália com 36 titulos nacionais Eneacampeao em 2020"
30,Lazio,Itália,1900,"Um dos maiores clubes da Itália com uma história marcada por paixão e rivalidade em Roma"
41,Leeds United,Inglaterra,1919,"Tricampeão da liga inglesa"
31,Lille,França,1944,"O maior clube do norte da França com 4 campeonatos franceses e 6 copas nacionais"
1,Liverpool,Inglaterra,1892,"Campeão Inglês pela 20ª vez em 2024/2025"
59,Mainz 05,Alemanha,1905,"O clube se destaca pelo estilo de jogo ofensivo e coletivo"
80,Mallorca,Espanha,1916,"Tem uma longa história no futebol espanhol, alternando períodos entre a La Liga e a Segunda Divisão"
3,Manchester City,Inglaterra,1880,"Potência inglesa com 10 títulos nacionais e 6 copas, além de uma Champions league"
24,Manchester United,Inglaterra,1878,"O segundo melhor clube inglês com 2 mundiais e 20 nacionais"
22,Milan,Itália,1899,"Segundo maior campeao da champions com 7 titulos"
13,Napoli,Itália,1926,"Clube do sul da Itália e tricampeão nacional"
8,Newcastle United,Inglaterra,1992,"Clube do norte da Inglaterra dono de quatro títulos nacionais"
53,Nice,França,1904,"Campeão da supercopa da França em 1970"
20,Nottingham Forest,Inglaterra,1865,"Um dos clubes mais tradicionais do futebol inglês e um dos nomes mais respeitados do futebol mundial"
57,Olympiakos,Grécia,1925,"Recordista nacional com 47 títulos e 28 copas"
42,Olympique Lyonnais,França,1950,"Clube com uma sequência recorde nacional de sete títulos consecutivos"
48,Olympique Marseille,França,1899,"É um dos clubes de futebol mais emblemáticos e de maior sucesso da França"
68,Osasuna,Espanha,1920,"O clube tem se destacado por sua resiliência e competitividade, mesmo sendo um clube de porte médio dentro do futebol espanhol"
32,PSV,Holanda,1913,"Bicampeão holandes 2024/2025"
65,Palmeiras,Brasil,1914,"O maior campeão do Brasil com 18 títulos nacionais"
5,Paris Saint Germain,França,1970,"Atual campeão da Champions league"
61,Porto,Portugal,1893,"Clube conhecido por sua competitividade tanto nacional quanto internacional"
47,RB Leipzig,Alemanha,2009,"Clube com forte influência corporativa da empresa da bebidas energéticas Red Bull"
74,RC Lens,França,1906,"Conquistou o Campeonato Francês em 1997/1998 e tem se destacado nos últimos anos por sua gestão sólida e estilo de jogo coletivo"
84,RSC Anderlecht,Bélgica,1908,"É um verdadeiro gigante do futebol belga, com 34 títulos do Campeonato nacional, além de diversas Copas da Bélgica"
87,Rayo Vallecano,Espanha,1924,"É conhecido por sua forte identidade local e comunitária, representando a classe trabalhadora de Vallecas"
39,Real Betis,Espanha,1907,"É um dos clubes com maior número de torcedores na Espanha e em todo mundo"
58,Real Sociedad,Espanha,1909,"O clube é conheciod por sua filosofia de valorização de jogadores formados na própria base"
98,River Plate,Argentina,1901,"Impiedoso na Argentina 36 títulos nacionais. Tetracampeão da Libertadores"
88,Sevilla FC,Espanha,1890,"É especialmente reconhecido por seu sucesso em copetições europeias, tendo conquitado 7 títulos da UEFA Europa League"
76,Sheffield United,Inglaterra,1889,"Foi campeão inglês em 1897/1898 e conquistou 4 Copas da Inglaterra"
54,Slavia Praga,República Tcheca,1892,"Clube mais antigo da República Tcheca"
66,Sporting Braga,Portugal,1921,"Clube amplamente reconhecido como o quarto maior clube de Portugal"
26,Sporting Club de Portugal,Portugal,1906,"Foi 25 vezes campeão nacional e venceu 4 vezes o extinto Campeonato de Portugal"
83,Stade Rennes FC,França,1901,"O clube conquistou três Copas da França e tem se mantido competitivo na Ligue 1 e em competições europeias"
50,Strasbourg,França,1933,"Campeão da ligue one em 1978"
51,Stuttgart,Alemanha,1893,"Clube com cinco títulos da bundesliga"
60,Torino,Itália,1906,"O clube conquistou cinco títulos consecutivos do capeonato Itáliano"
28,Tottenham Hotspur,Inglaterra,1882,"Um dos clubes mais tradicionais da Inglaterra, com uma forte presença na premier league"
93,Udinese Calcio,Itália,1896,"É conhecido por sua gestão financeira eficiente e por seu olheiro de talentos internacional"
38,Union Saint-Gilloise,Bélgica,1897,"O clube foi um dos mais bem-sucedidos na história do futebol belga"
67,Valencia,Espanha,1919,"É o quarto clube espanhol com mais títulos internacionais"
92,VfL Wolfsburg,Alemanha,1945,"O clube é conhecido por seu jogo ofensivo e estruturado, boa gestão financeira e por revelar talentos promissores dentro do futebol alemão"
89,Viktoria Plzeň,República Tcheca,1911,"Se destacou principalmente nas últimas décadas, conquistando múltiplos campeonatos da liga tcheca e participando regurlamente de competições europeias"
40,Villarreal,Espanha,1923,"Campeão da Liga Europa da UEFA"
70,Werder Bremen,Alemanha,1899,"O clube tem uma reputação de valorizar o futebol ofensivo e revelar talentos dentro da Alemanha"
49,West Ham United,Inglaterra,1895,"Campeão invicto da liga conferência da UEFA em 2022"
37,Wolverhampton Wanderers,Inglaterra,1877,"É um dos clubes mais antigos do futebol mundial"
